唱える,となえる,to recite; to chant / to cry; to yell; to shout / to advocate; to advance; to preach; to insist
証,あかし,proof; evidence; sign; testimony; vindication / certificate; license; membership card / to testify (usu. Christian religious context) / enlightenment / symptoms (in Chinese medicine); patient's condition
嬢,じょう,unmarried woman / Miss / -ess; -ette
申し入れる,もうしいれる,to propose; to suggest
真っ二つ,まっぷたつ,in two equal parts
真上,まうえ,just above; right overhead
神殿,しんでん,temple; sacred place; shrine; sanctuary; tabernacle
かろうじて,辛うじて,barely; narrowly; only just; with difficulty
進み,すすみ,progress
水気,みずけ,water content; moisture; juiciness; dampness / water vapor (vapour); steam / dropsy; edema; oedema
生育,せいいく,birth and growth; giving birth and raising; development; breeding
精巧,せいこう,elaborate; delicate; exquisite
製法,せいほう,manufacturing method; recipe; formula
先代,せんだい,previous generation (e.g. one's parents); family predecessor / predecessor / previous age
潜水,せんすい,diving; submerging; going underwater
膳,ぜん,small dining table (usu. for a single person); serving tray (with legs) / meal; food; serving / counter for bowlfuls of rice; counter for pairs of chopsticks
造り,つくり,make-up; structure; physique
即座に,そくざに,immediately; right away; on the spot
多数決,たすうけつ,majority decision; majority vote; majority rule
打ち切る,うちきる,to stop; to abort; to discontinue; to close
帯びる,おびる,"to wear (sword, decoration, etc.); to carry / to be entrusted (e.g. with a mission); to take on / to have a trace of; to be tinged with"
怠慢,たいまん,negligence; neglect; carelessness; procrastination
大空,おおぞら,heavens; firmament; sky
第,だい,prefix for forming ordinal numbers
達者,たっしゃ,in good health; healthy; well; robust; strong / skilled; clever; proficient
脱する,だっする,to escape from; to get out
たどり着く,たどりつく,to arrive at (after a struggle); to finally reach; to find one's way to; to finally hit on (e.g. an idea)
断面,だんめん,cross-section
張り紙,はりがみ,paper patch; paper backing; poster; sticker; label
頂,いただき,crown (of head); summit (of mountain); spire / easy win for one / something received
通,つう,"connoisseur; authority / counter for letters, notes, documents, etc."
殿様,とのさま,feudal lord; daimyo
渡り鳥,わたりどり,migratory bird; bird of passage
投げ出す,なげだす,to throw down; to throw out; to stretch out (one's legs) / to abandon; to resign / to give freely; to give generously; to sacrifice (e.g. one's life) / to start to throw
盗み,ぬすみ,stealing
独創,どくそう,originality
読み上げる,よみあげる,to read out; to read aloud; to call out / to finish reading; to read through
内乱,ないらん,civil war; insurrection; rebellion; domestic conflict
微塵,みじん,particle; atom; little piece / not at all; not the slightest
微量,びりょう,minuscule amount; extremely small quantity
不評,ふひょう,bad reputation; disgrace; unpopularity
富豪,ふごう,wealthy person; millionaire
布告,ふこく,edict; ordinance; proclamation
赴く,おもむく,"to go in the direction of; to proceed toward; to proceed according to; to repair to; to betake oneself to / to become; to face (facts, circumstances, etc.) / to abide by; to agree to; to consent to; to obey"
風習,ふうしゅう,custom
物議,ぶつぎ,public discussion; public criticism; controversy
分,ふん,"minute (unit of time) / fun (one tenth of a monme, 5.787 grains)"
噴出,ふんしゅつ,spewing; gushing; spouting; eruption; effusion
奮闘,ふんとう,hard struggle; strenuous effort
編,へん,compilation (of a text); editing / volume (of a text) / completed literary work
暴風,ぼうふう,storm; windstorm; gale
没収,ぼっしゅう,forfeiture; seizure; confiscation; impounding
民宿,みんしゅく,pension; guesthouse; bed and breakfast; private home providing lodging for travelers (travellers)
優美,ゆうび,grace; refinement; elegance; daintiness
遊牧,ゆうぼく,nomadism
揺さぶる,ゆさぶる,to shake; to jolt; to rock; to swing; to sway / to shake (e.g. the political world); to disturb; to shock; to upset / to put off a batter (by varying one's type of pitch)
溶液,ようえき,solution (liquid)
利潤,りじゅん,profit; returns
ああ,嗚呼,ah!; oh!; alas! / yes; indeed; that is correct / aah; gah; argh / hey!; yo! / uh huh; yeah yeah; right; gotcha
卯,う,"fourth sign of the Chinese zodiac (The Hare, 5am-7am, east, February)"
天地,てんち,heaven and earth; the universe; nature; top and bottom; realm; sphere; world / top and bottom / gods of heaven and earth
売り出し,うりだし,(bargain) sale
云々,うんぬん,and so on; and so forth; et cetera; and such; and the like / comment; criticism
切れ目,きれめ,gap; break; rift / pause; interval; interruption / cut; incision; notch; score / end
何気ない,なにげない,casual; unconcerned; nonchalant
